driverId,week,hours-logged,miles-logged
911,5,60,1000
935,49,65,800
456,6,71,600
750,32,71,1800
984,37,65,500
62,19,58,3500
647,12,68,3600
103,28,79,4000
715,46,68,3300
679,18,72,3000
596,22,76,2700
311,12,63,2700
161,1,72,4000
491,27,73,3100
790,16,56,1900
109,4,72,1000
66,7,50,800
522,18,77,800
583,14,65,2200
141,44,60,3600
324,12,50,400
685,21,76,300
160,38,72,300
411,44,57,1300
52,39,60,1300
93,14,63,1800
20,3,73,3100
331,3,52,800
866,40,51,3900
883,27,72,2000
283,27,70,2800
386,16,67,300
789,50,77,200
256,38,69,800
146,7,63,800
999,30,62,100
400,28,55,3800
615,31,64,1100
258,7,77,3900
813,36,73,1100
986,8,68,2500
974,2,75,2500
808,18,57,500
557,51,73,2500
315,11,74,1500
243,42,59,1600
589,41,62,3700
462,43,66,2000
766,7,69,300
142,11,77,2300
977,33,71,2800
864,2,55,2900
39,12,53,1400
827,44,80,3000
775,40,60,1100
701,21,72,600
430,40,76,2800
1008,44,63,600
357,51,65,300
696,50,59,2300
515,27,68,2400
705,25,70,500
553,49,78,800
324,15,73,3700
114,31,75,2000
853,45,50,3800
915,52,71,2900
195,46,76,1700
365,27,76,3600
186,22,67,2700
337,31,55,100
173,35,60,2800
915,18,59,800
92,18,52,1300
1009,40,78,1200
961,28,67,3300
959,29,60,100
433,50,64,500
70,16,60,4000
515,28,73,3300
758,5,68,3600
486,21,56,400
352,7,58,100
848,6,51,1000
774,2,78,1900
366,52,72,2400
237,51,71,300
489,32,60,2500
247,9,75,2300
500,42,70,3400
783,52,76,3100
787,36,78,3100
412,4,54,0
590,8,67,300
697,7,52,3400
340,7,64,3200
449,6,50,3800
952,48,78,1400
414,1,57,2900
753,19,69,2700
75,12,63,2900
263,49,50,3900
790,15,51,900
181,39,61,3800
127,35,53,3900
396,14,55,3800
415,49,72,2700
219,25,63,3800
273,36,62,2000
557,22,57,2900
113,22,55,1800
547,12,77,2300
96,8,63,1300
525,50,73,2900
43,16,79,3900
270,14,66,1300
187,37,50,400
520,37,80,3500
160,48,60,3800
348,38,59,3900
610,26,61,1800
322,30,50,1000
531,21,56,2900
436,38,68,2000
677,14,67,1600
235,52,76,1600
826,26,78,3800
227,21,67,500
556,6,75,4000
591,22,60,900
338,40,54,3200
337,49,78,1500
124,33,73,4000
478,19,78,4000
368,4,77,2800
243,12,80,2700
632,33,76,2700
812,4,55,3100
947,10,80,0
515,46,55,3900
201,19,74,800
747,34,80,1400
847,48,69,600
868,51,61,800
888,19,52,3900
564,12,64,500
153,47,65,2100
237,9,55,3700
318,27,72,2900
943,32,68,0
905,3,56,1600
340,16,54,1500
806,11,68,2300
885,26,71,300
927,15,68,300
117,34,72,1000
829,26,60,2700
750,49,72,2300
331,21,67,1500
734,8,52,800
834,20,76,1900
457,15,59,200
864,11,71,1600
23,36,50,2000
242,22,60,1400
794,40,52,3600
607,26,76,1600
851,21,60,3800
310,9,65,1000
866,6,67,2900
243,10,68,3200
37,35,71,2400
183,26,69,1500
820,46,63,500
753,18,65,1400
386,9,80,2100
91,2,69,600
807,15,74,1200
147,20,50,100
